rank	word	frequency
1	내가	39801
2	그	35563
3	난	35163
4	내	33774
5	안	32915
6	수	32814
7	이	30671
8	네	29504
9	거야	27633
10	좀	25742
11	그래	23453
12	있어	21329
13	왜	20645
14	더	18760
15	그리고	18551
16	우리	18186
17	다	16549
18	무슨	16460
19	한	16214
20	하지만	16213
21	잘	15904
22	어떻게	15731
23	할	15599
24	그냥	15379
25	정말	14958
26	그럼	14659
27	것	14409
28	게	14358
29	있어요	13941
30	있는	13759
31	해	13611
32	여기	13433
33	넌	13292
34	제가	13261
35	날	12972
36	우리가	12700
37	건	12616
38	전	12614
39	이제	12601
40	지금	12460
41	그게	12424
42	걸	12262
43	거	11944
44	아니	11876
45	네가	11838
46	없어	11729
47	돼	11157
48	저	11122
49	우린	11000
50	제	10893
51	못	10751
52	좋아	10712
53	당신이	10649
54	다른	10052
55	나	10042
56	그런	9723
57	그건	9628
58	너무	9580
59	그래서	9537
60	그렇게	9343
61	다시	9331
62	이건	9257
63	이런	9239
64	나도	8962
65	모든	8945
66	당신	8885
67	거예요	8824
68	당신은	8666
69	아	8433
70	좋은	8356
71	오	8097
72	때	8062
73	너	7660
74	하는	7645
75	하고	7509
76	아냐	7489
77	나는	7474
78	아니야	7427
79	알아	7424
80	같이	7389
81	응	7315
82	이게	7214
83	없어요	7085
84	괜찮아	6795
85	오늘	6761
86	말이야	6569
87	줄	6489
88	또	6475
89	널	6471
90	누가	6365
91	어떤	6314
92	아주	6245
93	말	6216
94	아직	6197
95	안돼	6051
96	진짜	6020
97	모두	5982
98	마	5950
99	같은	5923
100	여기서	5892
101	어서	5851
102	그는	5842
103	위해	5837
104	해요	5828
105	일이	5817
106	하지	5768
107	엄마	5728
108	바로	5628
109	가	5623
110	근데	5547
111	알고	5534
112	이렇게	5516
113	빨리	5487
114	있습니다	5474
115	이거	5373
116	전에	5366
117	어	5306
118	아뇨	5297
119	계속	5257
120	닥터	5237
121	얼마나	5234
122	될	5234
123	알았어	5217
124	않아	5207
125	제발	5182
126	있지	5135
127	겁니다	5062
128	어디	5021
129	사람이	5021
130	그가	5006
131	안녕	4963
132	좋아요	4954
133	같아	4864
134	우리는	4862
135	그래요	4795
136	당신을	4767
137	자	4745
138	그걸	4724
139	두	4698
140	아니에요	4609
141	있을	4603
142	때문에	4598
143	대해	4598
144	아빠	4551
145	몇	4444
146	사람	4444
147	했어	4395
148	뭐야	4377
149	수도	4314
150	많이	4279
151	집에	4262
152	거지	4262
153	일을	4262
154	저는	4257
155	음	4240
156	그렇지	4223
157	함께	4219
158	만약	4121
159	하나	4093
160	저기	4083
161	고마워요	4022
162	항상	4011
163	나한테	3977
164	잠깐	3930
165	가서	3900
166	가장	3891
167	돼요	3874
168	거죠	3869
169	가자	3852
170	맞아	3840
171	보고	3833
172	와	3760
173	그거	3753
174	말을	3751
175	괜찮아요	3737
176	아무도	3713
177	없는	3704
178	안녕하세요	3692
179	몰라	3643
180	일	3632
181	많은	3615
182	당신의	3571
183	아무것도	3559
184	그러니까	3552
185	큰	3550
186	알아요	3539
187	그의	3534
188	뭐가	3531
189	고마워	3506
190	그만	3505
191	했어요	3496
192	젠장	3494
193	사람들이	3477
194	거에요	3393
195	이걸	3384
196	그럴	3382
197	것도	3382
198	말이	3381
199	이미	3354
200	야	3341
201	그를	3333
202	뭔가	3327
203	온	3321
204	이봐	3265
205	아니면	3257
206	같아요	3253
207	그런데	3244
208	아니라	3237
209	세상에	3220
210	있다고	3217
211	있고	3199
212	뭐라고	3198
213	예	3184
214	절대	3177
215	말야	3174
216	당장	3149
217	그래도	3107
218	대한	3102
219	말은	3097
220	거기	3056
221	전부	3041
222	둘	3036
223	그녀는	3033
224	니가	3031
225	갈	3025
226	않아요	3006
227	자기	2987
228	있죠	2986
229	하면	2986
230	가지고	2965
231	그들이	2937
232	참	2882
233	너도	2877
234	됐어	2869
235	미안해	2864
236	것을	2827
237	여긴	2825
238	아무	2822
239	사람은	2781
240	감사합니다	2781
241	다들	2778
242	어때	2763
243	씨	2756
244	곧	2751
245	엄마가	2747
246	나를	2730
247	이젠	2729
248	아마	2725
249	그들은	2717
250	얘기	2716
251	꼭	2712
252	있잖아	2709
253	저도	2705
254	지금은	2697
255	그녀가	2692
256	중	2681
257	있다	2661
258	시간	2657
259	먼저	2655
260	우릴	2641
261	말고	2638
262	사람을	2602
263	수가	2596
264	봐요	2583
265	있는데	2562
266	알았어요	2551
267	해야	2544
268	있었어	2540
269	우리의	2533
270	않을	2531
271	방금	2511
272	완전	2494
273	된	2482
274	동안	2470
275	시간이	2466
276	싶어	2444
277	본	2439
278	일은	2432
279	친구	2428
280	들어	2424
281	안에	2413
282	번	2402
283	자네	2399
284	합니다	2349
285	사실	2347
286	한번	2344
287	대체	2317
288	같은데	2315
289	생각해	2286
290	맞아요	2281
291	볼	2280
292	혼자	2273
293	자네가	2273
294	절	2230
295	그러니	2226
296	선생님	2218
297	사람들은	2207
298	문제가	2200
299	다음	2184
300	물론	2178
301	거의	2172
